filename,lpips,ssim
Bus_2015_02289,0.7137737274169922,0.11747723141454064
Bus_2015_02295,0.7159336805343628,0.1043548206141851
Bus_2015_02296,0.6843209862709045,0.14018196749120101
Bus_2015_02318,0.7676910758018494,0.025544352191500256
Bus_2015_02336,0.7325550317764282,0.06301983363187234
Bus_2015_02363,0.6365755200386047,0.21341906380015876
Bus_2015_02375,0.7378072738647461,0.050343828557749604
Bus_2015_02387,0.6686410903930664,0.19729503692259276
Bus_2015_02389,0.7406703233718872,0.16243432054321466
Bus_2015_02402,0.7184704542160034,0.1288538751800657
Car_2015_02416,0.7735161781311035,0.07022542297041366
Car_2015_02425,0.8913243412971497,0.019309248273186346
Car_2015_02429,0.6340314745903015,0.11114540133104556
Car_2015_02440,0.8057405352592468,0.018090595694839225
Car_2015_02442,0.7501206398010254,0.051446769929813625
Car_2015_02448,0.6882827281951904,0.0436310695168434
Car_2015_02452,0.6308500170707703,0.17183978960426696
Car_2015_02455,0.7290579676628113,0.039761140957764146
Car_2015_02460,0.5983656644821167,0.4467606713143399
Car_2015_02463,0.7976589202880859,0.20590612713764653
Car_2015_02468,0.7174561023712158,0.15135663624271015
Car_2015_02483,0.8186270594596863,0.21380997124552578
Car_2015_02491,0.6324676871299744,0.38080779372613094
Car_2015_02503,0.829779326915741,0.08044809492217471
Car_2015_02522,0.7356416583061218,0.09053099232469143
Car_2015_02545,0.8357886075973511,0.04090898921156037
Car_2015_02546,0.5818169116973877,0.10598002623225682
Car_2015_02547,0.6192485690116882,0.18053706571343234
Car_2015_02556,0.8240041136741638,0.04082280075376212
Car_2015_02576,0.6117419600486755,0.27808340259384207
Car_2015_02594,0.6740612983703613,0.29873290625632215
Car_2015_02609,0.8236653804779053,0.08536235178560257
Car_2015_02610,0.6258377432823181,0.4061799092779179
Car_2015_02612,0.744083046913147,0.029012975181450577
Car_2015_02613,0.6344860196113586,0.2682876991373519
Car_2015_02635,1.036268949508667,0.027546466088553254
Car_2015_02641,1.1017425060272217,0.033206782318160426
Car_2015_02705,0.9260098934173584,0.012070514776810704
Car_2015_02721,0.9100932478904724,0.06906719321056008
Car_2015_02728,0.6133992671966553,0.15035924950547538
Car_2015_02753,0.7180856466293335,0.20051928859669074
Car_2015_02767,0.8702629208564758,0.04721463308460087
Car_2015_02768,0.7225464582443237,0.29613563058830766
Car_2015_02786,0.8527660965919495,0.08777671864947582
Car_2015_02794,0.7260413765907288,0.20304446796587258
Car_2015_02800,0.7995303273200989,0.08264097247038872
Car_2015_02810,0.6913250088691711,0.23406774771298108
Car_2015_02812,0.6679269075393677,0.24600861301116447
Car_2015_02817,0.6525411009788513,0.3005890195309495
Car_2015_02821,0.7481296062469482,0.18816822224036733
Car_2015_02829,0.6897066831588745,0.14280725876758757
Car_2015_02834,0.6976292729377747,0.06956306869736181
Car_2015_02847,0.7814455628395081,0.2750329837592924
Car_2015_02855,0.8472701907157898,0.02455633476615178
Car_2015_02860,1.0152698755264282,0.041156526268943915
Car_2015_02881,0.9220615029335022,0.16599987403799202
Car_2015_02884,0.7115757465362549,0.020710377356405418
Car_2015_02891,0.9322701692581177,0.13117893082584584
Car_2015_02912,0.7610164880752563,0.096066318810007
Car_2015_02918,0.6965798139572144,0.25233463820077956
Car_2015_02924,0.7416866421699524,0.05593213705435482
Car_2015_02936,0.9932591319084167,0.0010212445976304698
Car_2015_02940,0.6205997467041016,0.19620833170084417
Car_2015_02957,0.6119590997695923,0.13461525428108762
Car_2015_02984,0.6662871837615967,0.10978843391997073
Car_2015_02985,0.6855883598327637,0.22218704885307425
Car_2015_02997,0.7720460295677185,0.09078145281228778
Car_2015_03005,0.8760645389556885,0.056316947831223076
Car_2015_03011,0.9331443309783936,0.019795293008508023
Car_2015_03013,0.7602274417877197,0.12461733551520682
Cat_2015_03046,0.9003584384918213,0.031146133796422854
Cat_2015_03074,0.6264877319335938,0.09117727924074615
Cat_2015_03081,0.606087327003479,0.12777661797383694
Cat_2015_03082,0.7101825475692749,0.10833636327476938
Cat_2015_03091,0.8024637699127197,0.325358603367633
Cat_2015_03099,0.7540162801742554,0.07892666290319311
Cat_2015_03106,0.7735676765441895,0.292008969356812
Cat_2015_03132,0.828177809715271,0.17426709074500915
Cat_2015_03133,0.6507592797279358,0.2907106996510211
Cat_2015_03136,0.7590270638465881,0.10094098563910743
Cat_2015_03141,0.7709277272224426,0.2442310389951691
Cat_2015_03143,0.766526460647583,0.07986159062830792
Cat_2015_03147,0.7460415959358215,0.16233768625976716
Cat_2015_03157,0.7528560757637024,0.06990524433493438
Cat_2015_03172,0.9144675731658936,0.16643674631691624
Cat_2015_03179,0.7396324872970581,0.15141846756549837
Cat_2015_03213,0.7167113423347473,0.2725460630187901
Cat_2015_03219,0.7551025748252869,0.05602150168417994
Cat_2015_03222,0.8540790677070618,0.1195619670059655
Cat_2015_03225,0.5637799501419067,0.39579370884265935
Cat_2015_03226,0.5755464434623718,0.1392539625883058
